행정동명,연월,유입인구
서울특별시 강남구 세곡동,2024년 05월,"1,896,070"
서울특별시 강남구 세곡동,2024년 06월,"1,837,252"
서울특별시 강남구 세곡동,2024년 07월,"1,864,278"
서울특별시 강남구 수서동,2022년 01월,"1,207,527"
서울특별시 강남구 수서동,2022년 02월,"1,046,985"
서울특별시 강남구 수서동,2022년 03월,"1,183,181"
서울특별시 강남구 수서동,2022년 04월,"1,373,373"
서울특별시 강남구 수서동,2022년 05월,"1,794,790"
서울특별시 강남구 수서동,2022년 06월,"1,454,646"
서울특별시 강남구 수서동,2022년 07월,"1,492,739"
서울특별시 강남구 수서동,2022년 08월,"1,417,056"
서울특별시 강남구 수서동,2022년 09월,"1,415,277"
서울특별시 강남구 수서동,2022년 10월,"1,482,508"
서울특별시 강남구 수서동,2022년 11월,"1,486,232"
서울특별시 강남구 수서동,2022년 12월,"1,463,307"
서울특별시 강남구 수서동,2023년 01월,"1,363,526"
서울특별시 강남구 수서동,2023년 02월,"1,399,486"
서울특별시 강남구 수서동,2023년 03월,"1,597,019"
서울특별시 강남구 수서동,2023년 04월,"1,541,548"
서울특별시 강남구 수서동,2023년 05월,"1,568,913"
서울특별시 강남구 수서동,2023년 06월,"1,540,326"
서울특별시 강남구 수서동,2023년 07월,"1,531,310"
서울특별시 강남구 수서동,2023년 08월,"1,517,117"
서울특별시 강남구 수서동,2023년 09월,"1,503,066"
서울특별시 강남구 수서동,2023년 10월,"1,573,055"
서울특별시 강남구 수서동,2023년 11월,"1,573,142"
서울특별시 강남구 수서동,2023년 12월,"1,540,836"
서울특별시 강남구 수서동,2024년 01월,"1,523,679"
서울특별시 강남구 수서동,2024년 02월,"1,412,930"
서울특별시 강남구 수서동,2024년 03월,"1,598,968"
서울특별시 강남구 수서동,2024년 04월,"1,596,906"
서울특별시 강남구 수서동,2024년 05월,"1,612,052"
서울특별시 강남구 수서동,2024년 06월,"1,519,821"
서울특별시 강남구 수서동,2024년 07월,"1,582,189"
서울특별시 강남구 신사동,2022년 01월,"2,474,412"
서울특별시 강남구 신사동,2022년 02월,"2,113,944"
서울특별시 강남구 신사동,2022년 03월,"2,376,303"
서울특별시 강남구 신사동,2022년 04월,"2,759,178"
서울특별시 강남구 신사동,2022년 05월,"3,644,780"
서울특별시 강남구 신사동,2022년 06월,"2,966,953"
서울특별시 강남구 신사동,2022년 07월,"3,051,060"
서울특별시 강남구 신사동,2022년 08월,"2,890,125"
서울특별시 강남구 신사동,2022년 09월,"2,855,962"
서울특별시 강남구 신사동,2022년 10월,"2,972,301"
서울특별시 강남구 신사동,2022년 11월,"2,855,444"
서울특별시 강남구 신사동,2022년 12월,"2,902,557"
서울특별시 강남구 신사동,2023년 01월,"2,654,550"
서울특별시 강남구 신사동,2023년 02월,"2,713,658"
서울특별시 강남구 신사동,2023년 03월,"2,970,061"
서울특별시 강남구 신사동,2023년 04월,"2,817,210"
서울특별시 강남구 신사동,2023년 05월,"2,890,769"
서울특별시 강남구 신사동,2023년 06월,"2,922,226"
서울특별시 강남구 신사동,2023년 07월,"2,868,486"
서울특별시 강남구 신사동,2023년 08월,"2,765,312"
서울특별시 강남구 신사동,2023년 09월,"2,676,468"
서울특별시 강남구 신사동,2023년 10월,"2,757,524"
서울특별시 강남구 신사동,2023년 11월,"2,676,840"
서울특별시 강남구 신사동,2023년 12월,"2,746,745"
서울특별시 강남구 신사동,2024년 01월,"2,616,611"
서울특별시 강남구 신사동,2024년 02월,"2,363,388"
서울특별시 강남구 신사동,2024년 03월,"2,729,133"
서울특별시 강남구 신사동,2024년 04월,"2,733,495"
서울특별시 강남구 신사동,2024년 05월,"2,796,552"
서울특별시 강남구 신사동,2024년 06월,"2,786,320"
서울특별시 강남구 신사동,2024년 07월,"2,839,155"
서울특별시 강남구 압구정동,2022년 01월,"2,990,851"
